PacketID,SensorGenTime_ms,ProcessingTime_ms,TransmissionTime_ms
902,0.005,0.008,0.297
903,0.005,0.008,0.276
904,0.005,0.006,0.215
905,0.005,0.006,0.215
906,0.006,0.005,0.380
907,0.006,0.009,1.425
908,0.006,0.004,0.139
909,0.004,0.007,0.203
910,0.005,0.004,0.155
911,0.004,0.006,0.200
912,0.005,0.006,0.209
913,0.007,0.020,0.209
914,0.004,0.003,0.152
915,0.005,0.006,0.274
916,0.006,0.010,0.448
917,0.004,0.004,0.154
918,0.006,0.008,0.316
919,0.003,0.005,0.164
920,0.056,0.006,0.403
921,0.008,0.010,0.315
922,0.005,0.008,0.300
923,0.112,0.009,0.319
924,0.007,0.005,0.289
925,0.005,0.009,0.227
926,0.005,0.008,0.355
927,0.006,0.009,0.359
928,0.005,0.007,0.276
929,0.004,0.006,0.225
930,0.005,0.004,0.207
931,0.004,0.006,0.227
932,0.004,0.007,0.234
933,0.006,0.009,0.316
934,0.006,0.009,0.328
935,0.004,0.006,0.270
936,0.007,0.011,0.348
937,0.006,0.009,0.323
938,0.007,0.008,0.291
939,0.005,0.008,0.312
940,0.007,0.009,0.312
941,0.005,0.009,0.315
942,0.005,0.008,0.310
943,0.005,0.007,0.291
944,0.005,0.009,0.313
945,0.007,0.008,0.308
946,0.007,0.011,0.653
947,0.004,0.006,0.398
948,0.073,0.010,0.257
949,0.004,0.007,0.200
950,0.005,0.004,0.189
951,0.004,0.006,0.202
952,0.004,0.006,0.257
953,0.070,0.007,0.219
954,0.004,0.007,0.203
955,0.005,0.009,0.255
956,0.006,0.010,0.931
957,0.005,0.008,0.589
958,0.004,0.005,0.186
959,0.005,0.005,0.238
960,0.004,0.007,0.214
961,0.003,0.005,0.184
962,0.006,0.010,0.289
963,0.006,0.009,0.513
964,0.004,0.007,0.233
965,0.003,0.005,0.187
966,0.006,0.008,0.302
967,0.005,0.008,0.487
968,0.005,0.009,1.161
969,0.005,0.010,0.258
970,0.004,0.006,0.225
971,0.005,0.007,0.215
972,0.004,0.007,0.191
973,0.006,0.009,0.281
974,0.005,0.010,0.318
975,0.063,0.009,0.231
976,0.007,0.013,0.324
977,0.004,0.006,0.262
978,0.004,0.006,0.189
979,0.004,0.007,0.214
980,0.006,0.010,0.337
981,0.005,0.007,0.296
982,0.005,0.007,0.316
983,0.005,0.008,0.303
984,0.006,0.010,0.451
985,0.007,0.011,0.336
986,0.127,0.011,0.304
